Date,Country,Cumulative no. of cases,Cumulative no. of deaths,Link
4/30/09,Netherlands,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,New Zealand,3,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,Spain,13,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,Switzerland,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,United Kingdom,8,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,United States of America,109,1,https://www.who.int/csr/don/2009_04_30_a/en/
5/1/09,Austria,1,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Canada,34,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Germany,4,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Israel,2,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Mexico,156,9,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Netherlands,1,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,New Zealand,4,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Spain,13,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,United Kingdom,8,0,https://www.who.int/csr/don/2009_05_01a/en/
5/1/09,United States of America,141,1,https://www.who.int/csr/don/2009_05_01a/en/
5/2/09,Austria,1,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Canada,51,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,France,2,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Germany,6,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Israel,3,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Mexico,397,16,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Netherlands,1,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,New Zealand,4,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Republic of Korea,1,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Spain,13,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,United Kingdom,15,0,https://www.who.int/csr/don/2009_05_02a/en/
5/2/09,United States of America,160,1,https://www.who.int/csr/don/2009_05_02a/en/
5/3/09,Austria,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Canada,85,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,France,2,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Germany,8,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Israel,3,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Italy,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Mexico,506,19,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Netherlands,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,New Zealand,4,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Republic of Korea,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Spain,40,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,United Kingdom,15,0,https://www.who.int/csr/don/2009_05_03a/en/
5/3/09,United States of America,226,1,https://www.who.int/csr/don/2009_05_03a/en/
5/4/09,Austria,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Canada,101,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Colombia,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,El Salvador,2,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,France,4,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Germany,8,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Israel,4,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Italy,2,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Mexico,590,25,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Netherlands,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,New Zealand,6,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Republic of Korea,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Spain,54,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,United Kingdom,18,0,https://www.who.int/csr/don/2009_05_04a/en/
5/4/09,United States of America,286,1,https://www.who.int/csr/don/2009_05_04a/en/
5/5/09,Austria,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Canada,140,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Colombia,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,El Salvador,2,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,France,4,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Germany,9,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Israel,4,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Italy,5,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Mexico,822,29,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Netherlands,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,New Zealand,6,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Republic of Korea,2,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Spain,57,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,United Kingdom,27,0,https://www.who.int/csr/don/2009_05_05a/en/
5/5/09,United States of America,403,1,https://www.who.int/csr/don/2009_05_05a/en/
5/6/09,Austria,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Canada,165,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Colombia,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,El Salvador,2,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,France,5,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Germany,9,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Guatemala,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Israel,4,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Italy,5,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Mexico,942,29,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Netherlands,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,New Zealand,6,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Republic of Korea,2,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Spain,73,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Sweden,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,United Kingdom,28,0,https://www.who.int/csr/don/2009_05_06d/en/
5/6/09,United States of America,642,2,https://www.who.int/csr/don/2009_05_06d/en/
5/7/09,Austria,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Canada,201,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Colombia,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,El Salvador,2,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,France,5,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Germany,10,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Guatemala,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Israel,6,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Italy,5,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Mexico,1112,42,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Netherlands,2,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,New Zealand,5,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Poland,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Spain,81,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Sweden,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,United Kingdom,32,0,https://www.who.int/csr/don/2009_05_07a/en/
5/7/09,United States of America,896,2,https://www.who.int/csr/don/2009_05_07a/en/
5/8/09,Austria,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Brazil,4,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Canada,214,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Colombia,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,El Salvador,2,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,France,12,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Germany,11,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Guatemala,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Israel,7,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Italy,6,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Mexico,1204,44,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,New Zealand,5,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Poland,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Spain,88,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Sweden,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,United Kingdom,34,0,https://www.who.int/csr/don/2009_05_08a/en/
5/8/09,United States of America,896,2,https://www.who.int/csr/don/2009_05_08a/en/
5/9/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Australia,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Austria,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Brazil,6,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Canada,242,1,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Colombia,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,El Salvador,2,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,France,12,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Germany,11,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Guatemala,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Israel,7,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Italy,6,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Japan,3,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Mexico,1364,45,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,New Zealand,5,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Panama,2,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Poland,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Spain,88,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Sweden,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,United Kingdom,34,0,https://www.who.int/csr/don/2009_05_09/en/
5/9/09,United States of America,1639,2,https://www.who.int/csr/don/2009_05_09/en/
5/10/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Australia,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Austria,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Brazil,6,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Canada,280,1,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Colombia,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,El Salvador,2,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,France,12,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Germany,11,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Guatemala,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Israel,7,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Italy,9,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Japan,4,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Mexico,1626,45,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,New Zealand,7,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Panama,3,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Poland,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Spain,93,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Sweden,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,United Kingdom,39,0,https://www.who.int/csr/don/2009_05_10/en/
5/10/09,United States of America,2254,2,https://www.who.int/csr/don/2009_05_10/en/
5/11/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Australia,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Austria,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Canada,284,1,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Colombia,3,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,El Salvador,4,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,France,13,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Germany,11,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Guatemala,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Israel,7,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Italy,9,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Japan,4,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Mexico,1626,48,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,New Zealand,7,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Norway,2,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Panama,15,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Poland,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Spain,95,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Sweden,2,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,United Kingdom,47,0,https://www.who.int/csr/don/2009_05_11/en/
5/11/09,United States of America,2532,3,https://www.who.int/csr/don/2009_05_11/en/
5/12/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Australia,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Austria,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Canada,330,1,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Colombia,3,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,El Salvador,4,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,France,13,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Germany,12,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Guatemala,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Israel,7,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Italy,9,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Japan,4,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Mexico,2059,56,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,New Zealand,7,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Norway,2,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Panama,16,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Poland,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Spain,95,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Sweden,2,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,United Kingdom,55,0,https://www.who.int/csr/don/2009_05_12/en/
5/12/09,United States of America,2600,3,https://www.who.int/csr/don/2009_05_12/en/
5/13/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Australia,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Austria,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Canada,358,1,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Colombia,6,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Cuba,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,El Salvador,4,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Finland,2,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,France,13,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Germany,12,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Guatemala,3,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Israel,7,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Italy,9,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Japan,4,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Mexico,2059,56,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,New Zealand,7,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Norway,2,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Panama,29,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Poland,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Spain,98,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Sweden,2,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,United Kingdom,68,0,https://www.who.int/csr/don/2009_05_13/en/
5/13/09,United States of America,3009,3,https://www.who.int/csr/don/2009_05_13/en/
5/14/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Australia,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Austria,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Canada,389,1,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,China,4,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Colombia,7,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Cuba,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,El Salvador,4,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Finland,2,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,France,14,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Germany,12,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Guatemala,3,0,https://www.who.int/csr/don/2009_05_14/en/
